Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012
2006;35;-5.9;-10.9;-1.97;-1.5
2007;35;-5.9;-10.9;-1.97;-1.5
2008;82.5;-13.65;-22.31;-3.66;-1.5
2009;63;-10.86;-16.14;-2.83;-1.5
2010;85;-7.44;-12.9;-2.37;-1.5
2011;110;-4.09;-10.13;-2.9;-1.5
