Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;Pred Jet 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;22.9;;-12.1;
2009;71;-13.27;-18.76;18.56;;-12.1;
2010;82.5;-8.44;-14.03;18.61;-12.27;-12.1;0
2011;100;1.37;-4.22;28.11;-10.88;-12.1;-7.46
2012;100;-6.84;-11.13;17.09;-8.71;-12.1;-7.32
2013;100;-7.03;-12.15;17.34;-8.86;-12.1;-7.59
