Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;Jet 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;11.28;3.66;5.3;2.25
2007;35;-5.9;-10.9;11.28;4.1;5.3;2.41
2008;82.5;-13.65;-22.31;24.05;7.21;5.3;3.78
2009;63;-10.86;-16.14;16.82;6.6;5.3;
2010;85;-7.44;-12.9;17.04;5.88;5.3;4.12
2011;110;-4.09;-10.13;22.01;6.49;5.3;4.53
