Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;Jet 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;22.9;7.47;4.2;3.88
2009;71;-13.27;-18.76;18.56;8.55;4.2;
2010;82.5;-8.44;-14.03;18.61;6.49;4.2;4.55
2011;100;1.37;-4.22;28.11;6.96;4.2;5.05
2012;100;-6.84;-11.13;17.09;6.14;4.2;4.68
2013;100;-7.03;-12.15;17.34;8;4.2;4.8
