Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;2.12;1.2;0.35
2007;35;-5.9;-10.9;2.12;1.2;0.57
2008;82.5;-13.65;-22.31;4.7;1.2;2.83
2009;63;-10.86;-16.14;3.77;1.2;2.33
2010;85;-7.44;-12.9;3.69;1.2;1.96
2011;110;-4.09;-10.13;2.96;1.2;2.03
