Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;Jet 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;11.03;5.55;6;5.73
2006;35;-5.74;-10.74;11.28;3.59;6;2.17
2007;44;-8.58;-13.13;13.52;5.23;6;2.9
2008;83.3;-13.55;-22.58;24.56;7.32;6;3.68
2009;59;-9.26;-14.37;15.98;6.17;6;
2010;82;-7.32;-12.52;15.69;5.77;6;4.28
