Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;1.7;1.9;0.42
2006;35;-5.74;-10.74;2.12;1.9;0.4
2007;44;-8.58;-13.13;2.57;1.9;0.99
2008;83.3;-13.55;-22.58;4.79;1.9;2.81
2009;59;-9.26;-14.37;3.49;1.9;2.15
2010;82;-7.32;-12.52;3.44;1.9;2.08
