Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012
2006;35;-5.9;-10.9;-3.05;-2.6
2007;35;-5.9;-10.9;-3.05;-2.6
2008;82.5;-13.65;-22.31;-5.59;-2.6
2009;63;-10.86;-16.14;-4.72;-2.6
2010;85;-7.44;-12.9;-3.67;-2.6
2011;110;-4.09;-10.13;-1.44;-2.6
