Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;-1.48;-4.9;-3.1
2007;35;-5.9;-10.9;-1.18;-4.9;-3.59
2008;82.5;-13.65;-22.31;-4.87;-4.9;-4.95
2009;63;-10.86;-16.14;-3.76;-4.9;-3.83
2010;85;-7.44;-12.9;-2.39;-4.9;-3.6
2011;110;-4.09;-10.13;-1.75;-4.9;-2.03
