Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;-5.17;-2.3;-4.65
2009;71;-13.27;-18.76;-5.2;-2.3;
2010;82.5;-8.44;-14.03;-4.04;-2.3;-1.94
2011;100;1.37;-4.22;-1.44;-2.3;-1.29
2012;100;-6.84;-11.13;-0.7;-2.3;-1.55
2013;100;-7.03;-12.15;-0.68;-2.3;-2.32
