Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;-3.52;-1.7;-4.71
2009;71;-13.27;-18.76;-3.12;-1.7;-3.92
2010;82.5;-8.44;-14.03;-2.54;-1.7;-3.55
2011;100;1.37;-4.22;-2.88;-1.7;-3.22
2012;100;-6.84;-11.13;-2.12;-1.7;-2.5
2013;100;-7.03;-12.15;-2.25;-1.7;-2.9
