Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;TD 2011;Actual 2011
2005;28;-5.7;-9.57;-2.85;-4.9
2006;35;-5.74;-10.74;-3.02;-4.9
2007;44;-8.58;-13.13;-3.26;-4.9
2008;83.3;-13.55;-22.58;-5.71;-4.9
2009;59;-9.26;-14.37;-4.4;-4.9
2010;82;-7.32;-12.52;-3.54;-4.9
