Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;-2.83;-4.9;-3.16
2006;35;-5.74;-10.74;-3.01;-4.9;-3.03
2007;44;-8.58;-13.13;-3.25;-4.9;-3.21
2008;83.3;-13.55;-22.58;-5.48;-4.9;-5.03
2009;59;-9.26;-14.37;-4.4;-4.9;
2010;82;-7.32;-12.52;-3.54;-4.9;-1.88
